	colon_polyA_3	colon_polyA_4	colon_polyA_1	colon_polyA_2	colon_total_3	colon_total_4	colon_total_1	colon_total_2	pbmc_polyA_3	pbmc_polyA_4	pbmc_polyA_1	pbmc_polyA_2	pbmc_total_3	pbmc_total_4	pbmc_total_1	pbmc_total_2
STIMATE-MUSTN1	36245	32982	33765	34707	58508	59761	57805	56690	32590	31374	40061	34780	144408	149837	145566	153609
STIMATE	32375	29902	30913	32037	44268	42137	41429	41944	31730	30868	39993	35213	118846	122597	114494	124723
SFMBT1	49900	48224	49980	46146	37244	29179	33140	28096	22712	22211	24634	22221	37030	33681	31551	30362
RFT1	27070	23349	26858	25489	39959	37035	36137	39040	26598	26633	27791	23782	53551	57604	55047	52835
PRKCD	49938	46666	49457	45576	412071	443620	427601	443539	33830	32838	43805	37135	758732	778516	806127	812469
TKT	182665	185739	178612	159544	343880	390392	377500	402978	305000	311412	358577	347891	3486708	3588803	3660800	3656401
DCP1A	63101	63812	65169	68486	95868	87265	87090	87681	34458	34378	36205	36574	81878	85954	75102	78727
CACNA1D	36616	33255	32897	37250	25735	27320	26356	26645	10431	10564	11071	10669	3752	2669	3778	2856
CHDH	38307	39540	35939	35154	54506	63079	56815	59413	2191	2493	2767	3125	1363	2667	1283	2742
IL17RB	28851	26113	27662	29461	48241	46842	44581	48656	8083	7458	9440	6106	6226	6451	8562	5619
ACTR8	58995	57823	55651	60276	47630	46085	49871	46119	41000	43253	40974	43631	44331	38502	42062	36741
SELENOK	60675	63890	58266	59418	119637	115337	114846	109625	37801	37011	36546	33792	65498	57651	63179	59527
LRTM1	151	225	257	347	226	414	453	378	212	244	593	374	0	0	0	150
CACNA2D3	2900	1939	2193	2063	3646	2799	2136	3731	7526	5957	7325	6152	24782	24640	27683	24877
WNT5A	38773	41396	37282	38141	46934	40113	39899	36415	1918	1736	1669	2443	524	532	456	757
ERC2	519	1507	490	680	379	430	378	640	1700	1214	1003	1179	225	0	76	151
CCDC66	63473	59470	61608	72302	51010	42220	42874	44084	50117	49649	55153	49648	32062	36853	34832	33627
TASOR	210788	207922	208633	237146	188995	171101	165528	167794	189678	182426	189087	192555	131142	136895	145483	125348
SPATA12	225	453	302	76	152	0	0	0	640	1303	907	1334	0	0	0	0
ARHGEF3	26729	28770	28820	30479	51047	47259	46303	47459	107274	106165	102670	102781	199436	209212	205387	192945
IL17RD	4141	4920	4639	3902	6706	5199	6443	5660	2532	2707	2029	2275	75	224	74	76
HESX1	267	375	226	605	969	900	1024	796	380	113	110	75	608	385	145	350
APPL1	221897	230574	227478	239540	196418	157119	153683	154947	107150	97249	89726	93145	75138	67311	71312	67632
ASB14	18107	14049	18189	20704	13242	9016	8271	7497	15950	13588	13954	12361	3621	3881	3989	3415
